"Freq [GHz]","Q_circular []"
1,3.35167888853419
1.4975,4.67704763538771
1.995,5.91370127749632
2.4925,6.98673317209265
2.99,7.85263219249703
3.4875,8.49362059361248
3.985,8.9164751118544
4.4825,9.14705173937087
4.98,9.22179117630389
5.4775,9.17951284814167
5.975,9.05568793382562
6.4725,8.8796037109034
6.97,8.67373572249848
7.4675,8.45438142800661
7.965,8.23280327491384
8.4625,8.01642997437909
8.96,7.80990528670252
9.4575,7.61591981588164
9.955,7.43583354636894
10.4525,7.27012436251713
10.95,7.11870267161753
11.4475,6.98112767562679
11.945,6.85675352370931
12.4425,6.74482647398345
12.94,6.64454831983578
13.4375,6.5551168471356
13.935,6.4757508067237
14.4325,6.40570455137994
14.93,6.34427585317275
15.4275,6.29080928739021
15.925,6.24469679348036
16.4225,6.20537649336227
16.92,6.17233048655369
17.4175,6.14508209655625
17.915,6.12319287708457
18.4125,6.10625957484647
18.91,6.09391117048702
19.4075,6.08580606918174
19.905,6.08162947925815
20.4025,6.08109099562432
20.9,6.08392239099739
21.3975,6.08987560934776
21.895,6.09872095097271
22.3925,6.11024543587324
22.89,6.1242513309384
23.3875,6.14055482624023
23.885,6.15898484612693
24.3825,6.17938198156895
24.88,6.20159753116695
25.3775,6.22549263926162
25.875,6.25093752064292
26.3725,6.27781076237399
26.87,6.30599869422646
27.3675,6.33539482010773
27.865,6.36589930371664
28.3625,6.39741850237768
28.86,6.42986454372827
29.3575,6.4631549405042
29.855,6.49721223923485
30.3525,6.53196369914361
30.85,6.5673409979678
31.3475,6.6032799618132
31.845,6.63972031648159
32.3425,6.67660545801641
32.84,6.71388224047881
33.3375,6.75150077919302
33.835,6.78941426790735
34.3325,6.82757880850952
34.83,6.8659532520775
35.3275,6.90449905020125
35.825,6.94318011562829
36.3225,6.98196269140022
36.82,7.02081522773815
37.3175,7.05970826601771
37.815,7.09861432925976
38.3125,7.13750781861581
38.81,7.17636491538366
39.3075,7.21516348815717
39.805,7.25388300472907
40.3025,7.29250444843248
40.8,7.33101023862057
41.2975,7.36938415502781
41.795,7.40761126576663
42.2925,7.44567785875502
42.79,7.48357137637267
43.2875,7.52128035317381
43.785,7.55879435649448
44.2825,7.59610392980263
44.78,7.63320053866061
45.2775,7.67007651917238
45.775,7.70672502879723
46.2725,7.74313999942398
46.77,7.7793160926038
47.2675,7.81524865685063
47.765,7.85093368691245
48.2625,7.88636778493873
48.76,7.92154812345806
49.2575,7.95647241009531
49.755,7.9911388539533
50.2525,8.02554613359331
50.75,8.05969336654767
51.2475,8.09358008030601
51.745,8.12720618470719
52.2425,8.16057194568989
52.74,8.19367796033805
53.2375,8.22652513317526
53.735,8.25911465364952
54.2325,8.29144797476642
54.73,8.32352679281857
55.2275,8.355353028168
55.725,8.3869288070333
56.2225,8.41825644424713
56.72,8.44933842693161
57.2175,8.48017739906204
57.715,8.51077614687597
58.2125,8.54113758508813
58.71,8.57126474388222
59.2075,8.60116075663908
59.705,8.63082884837086
60.2025,8.66027232482783
60.7,8.68949456224939
61.1975,8.71849899772627
61.695,8.74728912014799
62.1925,8.77586846170587
62.69,8.80424058992698
63.1875,8.83240910021418
63.685,8.86037760886164
64.1825,8.88814974653273
64.68,8.91572915216974
65.1775,8.94311946731257
65.675,8.97032433081557
66.1725,8.99734737393083
66.67,9.02419221574649
67.1675,9.05086245895759
67.665,9.07736168595623
68.1625,9.10369345521856
68.66,9.12986129797825
69.1575,9.15586871516708
69.655,9.18171917460982
70.1525,9.20741610845994
70.65,9.23296291085907
71.1475,9.2583629358151
71.645,9.28361949527539
72.1425,9.30873585739804
72.64,9.33371524499293
73.1375,9.3585608341405
73.635,9.38327575296065
74.1325,9.40786308053735
74.63,9.43232584597892
75.1275,9.4566670276086
75.625,9.48088955228491
76.1225,9.50499629482706
76.62,9.5289900775576
77.1175,9.55287366993923
77.615,9.57664978830958
78.1125,9.60032109570156
78.61,9.62389020174774
79.1075,9.64735966265761
79.605,9.67073198126826
80.1025,9.69400960716084
80.6,9.71719493683561
81.0975,9.74029031394643
81.595,9.76329802958212
82.0925,9.78622032260395
82.59,9.80905938001816
83.0875,9.83181733739543
83.585,9.85449627932544
84.0825,9.8770982399036
84.58,9.89962520325132
85.0775,9.92207910406259
85.575,9.94446182817672
86.0725,9.96677521317302
86.57,9.98902104898624
87.0675,10.0112010785398
87.565,10.0333169983971
88.0625,10.0553704594232
88.56,10.0773630674616
89.0575,10.0992963840217
89.555,10.1211719269725
90.0525,10.1429911712471
90.55,10.1647555495501
91.0475,10.1864664530724
91.545,10.2081252322069
92.0425,10.2297331972685
92.54,10.2512916192143
93.0375,10.2728017303654
93.535,10.2942647251238
94.0325,10.3156817606955
94.53,10.3370539578026
95.0275,10.3583824013994
95.525,10.3796681413802
96.0225,10.4009121932854
96.52,10.422115539001
97.0175,10.4432791274545
97.515,10.4644038753029
98.0125,10.4854906676165
98.51,10.5065403585537
99.0075,10.5275537720304
99.505,10.5485317023828
100.0025,10.5694749150181
100.5,10.5903841470646
100.9975,10.6112601080057
101.495,10.6321034803118
101.9925,10.6529149200592
102.49,10.6736950575439
102.9875,10.6944444978838
103.485,10.715163821614
103.9825,10.7358535852704
104.48,10.7565143219675
104.9775,10.7771465419651
105.475,10.7977507332246
105.9725,10.81832736196
106.47,10.8388768731746
106.9675,10.8593996911927
107.465,10.8798962201801
107.9625,10.9003668446544
108.46,10.9208119299884
108.9575,10.9412318229027
109.455,10.9616268519507
109.9525,10.9819973279919
110.45,11.0023435446586
110.9475,11.0226657788136
111.445,11.0429642909959
111.9425,11.0632393258642
112.44,11.083491112623
112.9375,11.1037198654475
113.435,11.1239257838965
113.9325,11.144109053317
114.43,11.1642698452411
114.9275,11.1844083177764
115.425,11.2045246159833
115.9225,11.2246188722495
116.42,11.2446912066548
116.9175,11.2647417273271
117.415,11.2847705307925
117.9125,11.3047777023159
118.41,11.3247633162349
118.9075,11.3447274362893
119.405,11.3646701159377
119.9025,11.3845913986717
120.4,11.4044913183213
120.8975,11.424369899354
121.395,11.4442271571656
121.8925,11.4640630983682
122.39,11.4838777210661
122.8875,11.5036710151308
123.385,11.5234429624658
123.8825,11.5431935372677
124.38,11.5629227062797
124.8775,11.5826304290409
125.375,11.6023166581262
125.8725,11.6219813393861
126.37,11.6416244121758
126.8675,11.6612458095806
127.365,11.6808454586375
127.8625,11.7004232805492
128.36,11.7199791908934
128.8575,11.739513099829
129.355,11.7590249122943
129.8525,11.7785145282022
130.35,11.797981842631
130.8475,11.8174267460091
131.345,11.8368491242953
131.8425,11.8562488591574
132.34,11.8756258281411
132.8375,11.8949799048403
133.335,11.9143109590587
133.8325,11.93361885697
134.33,11.9529034612739
134.8275,11.9721646313458
135.325,11.9914022233853
135.8225,12.010616090561
136.32,12.0298060831479
136.8175,12.0489720486668
137.315,12.0681138320146
137.8125,12.087231275596
138.31,12.1063242194481
138.8075,12.1253925013636
139.305,12.1444359570107
139.8025,12.163454420049
140.3,12.1824477222431
140.7975,12.2014156935729
141.295,12.2203581623401
141.7925,12.2392749552744
142.29,12.2581658976331
142.7875,12.2770308133016
143.285,12.2958695248887
143.7825,12.3146818538199
144.28,12.3334676204295
144.7775,12.352226644048
145.275,12.3709587430884
145.7725,12.3896637351299
146.27,12.4083414369989
146.7675,12.4269916648481
147.265,12.4456142342337
147.7625,12.4642089601894
148.26,12.482775657298
148.7575,12.501314139764
149.255,12.5198242214791
149.7525,12.5383057160911
150.25,12.5567584370658
150.7475,12.5751821977514
151.245,12.5935768114386
151.7425,12.6119420914182
152.24,12.6302778510405
152.7375,12.6485839037674
153.235,12.6668600632289
153.7325,12.6851061432743
154.23,12.7033219580219
154.7275,12.7215073219072
155.225,12.7396620497329
155.7225,12.7577859567118
156.22,12.7758788585125
156.7175,12.7939405713025
157.215,12.8119709117891
157.7125,12.8299696972595
158.21,12.847936745621
158.7075,12.8658718754369
159.205,12.8837749059632
159.7025,12.901645657185
160.2,12.9194839498487
160.6975,12.9372896054959
161.195,12.9550624464945
161.6925,12.9728022960692
162.19,12.9905089783306
162.6875,13.0081823183049
163.185,13.0258221419595
163.6825,13.0434282762307
164.18,13.0610005490481
164.6775,13.0785387893591
165.175,13.0960428271536
165.6725,13.1135124934847
166.17,13.1309476204918
166.6675,13.1483480414207
167.165,13.1657135906436
167.6625,13.1830441036785
168.16,13.2003394172081
168.6575,13.2175993690956
169.155,13.2348237984039
169.6525,13.2520125454096
170.15,13.2691654516199
170.6475,13.2862823597857
171.145,13.3033631139176
171.6425,13.3204075592973
172.14,13.3374155424911
172.6375,13.3543869113623
173.135,13.3713215150821
173.6325,13.3882192041403
174.13,13.4050798303561
174.6275,13.421903246887
175.125,13.4386893082385
175.6225,13.4554378702732
176.12,13.4721487902171
176.6175,13.488821926669
177.115,13.5054571396064
177.6125,13.5220542903926
178.11,13.5386132417825
178.6075,13.5551338579283
179.105,13.5716160043849
179.6025,13.5880595481146
180.1,13.6044643574912
180.5975,13.6208303023038
181.095,13.6371572537607
181.5925,13.6534450844927
182.09,13.6696936685554
182.5875,13.6859028814312
183.085,13.7020726000326
183.5825,13.7182027027028
184.08,13.7342930692179
184.5775,13.7503435807866
185.075,13.7663541200522
185.5725,13.7823245710929
186.07,13.7982548194206
186.5675,13.8141447519825
187.065,13.8299942571595
187.5625,13.8458032247655
188.06,13.8615715460467
188.5575,13.8772991136801
189.055,13.8929858217723
189.5525,13.9086315658572
190.05,13.9242362428947
190.5475,13.9397997512671
191.045,13.955321990779
191.5425,13.970802862652
192.04,13.9862422695231
192.5375,14.0016401154423
193.035,14.016996305868
193.5325,14.0323107476637
194.03,14.0475833490952
194.5275,14.0628140198262
195.025,14.0780026709141
195.5225,14.0931492148063
196.02,14.1082535653352
196.5175,14.1233156377146
197.015,14.1383353485344
197.5125,14.1533126157556
198.01,14.168247358706
198.5075,14.1831394980754
199.005,14.1979889559088
199.5025,14.2127956556029
200,14.2275595218998
