"Freq [GHz]","Q_oct []"
1,3.460908561465
1.4975,4.32346778856832
1.995,4.73214346847557
2.4925,4.88214952181753
2.99,4.90920113580065
3.4875,4.88894038887615
3.985,4.85885973926487
4.4825,4.83581164690068
4.98,4.82627504477814
5.4775,4.83175994580598
5.975,4.85152777088477
6.4725,4.88392893354906
6.97,4.92704628300131
7.4675,4.97899344296723
7.965,5.03804267080921
8.4625,5.10266947904771
8.96,5.17155767466552
9.4575,5.24358664505122
9.955,5.31781172156511
10.4525,5.39344288282863
10.95,5.46982423788313
11.4475,5.546415308604
11.945,5.62277442862625
12.4425,5.69854424276647
12.94,5.7734391456456
13.4375,5.84723444711955
13.935,5.91975704650161
14.4325,5.99087741222973
14.93,6.06050268595675
15.4275,6.128570753718
15.925,6.1950451491213
16.4225,6.25991067325182
16.92,6.32316963298228
17.4175,6.38483861376779
17.915,6.44494571509861
18.4125,6.50352818692762
18.91,6.56063041390433
19.4075,6.61630220142657
19.905,6.67059732361751
20.4025,6.72357229849697
20.9,6.77528536008143
21.3975,6.82579560097766
21.895,6.87516226233458
22.3925,6.92344415094631
22.89,6.97069916579056
23.3875,7.0169839185312
23.885,7.06235343443747
24.3825,7.10686092191188
24.88,7.15055760029355
25.3775,7.19349257697458
25.875,7.23571276600842
26.3725,7.27726284142845
26.87,7.31818521942245
27.3675,7.35852006428083
27.865,7.39830531375657
28.3625,7.43757672008933
28.86,7.47636790347393
29.3575,7.51471041524017
29.855,7.5526338084092
30.3525,7.59016571365376
30.85,7.62733191900697
31.3475,7.66415645192278
31.845,7.70066166253045
32.3425,7.73686830712913
32.84,7.77279563113537
33.3375,7.80846145084621
33.835,7.84388223351626
34.3325,7.87907317534092
34.83,7.91404827703902
35.3275,7.94882041681009
35.825,7.98340142049039
36.3225,8.01780212881201
36.82,8.0520324616838
37.3175,8.08610147948305
37.815,8.12001744135522
38.3125,8.15378786055161
38.81,8.18741955685769
39.3075,8.22091870617554
39.805,8.25429088734618
40.3025,8.28754112629136
40.8,8.32067393757857
41.2975,8.3536933635046
41.795,8.38660301080205
42.2925,8.41940608507755
42.79,8.45210542308087
43.2875,8.48470352291851
43.785,8.51720257230304
44.2825,8.54960447495445
44.78,8.58191087523858
45.2775,8.61412318114648
45.775,8.64624258570807
46.2725,8.67827008692108
46.77,8.71020650629196
47.2675,8.74205250606374
47.765,8.77380860520738
48.2625,8.8054751942617
48.76,8.83705254907819
49.2575,8.86854084355207
49.755,8.89994016139416
50.2525,8.93125050700941
50.75,8.96247181553436
51.2475,8.99360396209517
51.745,9.02464677032921
52.2425,9.05560002022403
52.74,9.086463455316
53.2375,9.11723678929435
53.735,9.14791971204598
54.2325,9.17851189518558
54.73,9.20901299709914
55.2275,9.23942266754039
55.725,9.26974055180672
56.2225,9.29996629452981
56.72,9.33009954309846
57.2175,9.36013995075216
57.715,9.39008717936004
58.2125,9.41994090190774
58.71,9.44970080472298
59.2075,9.4793665894475
59.705,9.50893797477965
60.2025,9.53841469800823
60.7,9.56779651634597
61.1975,9.5970832080823
61.695,9.6262745735733
62.1925,9.65537043606901
62.69,9.6843706424076
63.1875,9.713275063572
63.685,9.74208359513376
64.1825,9.77079615757813
64.68,9.79941269653639
65.1775,9.82793318292195
65.675,9.85635761298096
66.1725,9.88468600827018
66.67,9.91291841556201
67.1675,9.94105490668549
67.665,9.9690955783119
68.1625,9.99704055168664
68.66,10.0248899723145
69.1575,10.0526440096027
69.655,10.0803028564646
70.1525,10.1078667288934
70.65,10.1353358655021
71.1475,10.1627105270376
71.645,10.1899909958725
72.1425,10.2171775754747
72.64,10.244270589863
73.1375,10.2712703830433
73.635,10.2981773184332
74.1325,10.3249917782793
74.63,10.3517141630597
75.1275,10.3783448908863
75.625,10.4048843968978
76.1225,10.4313331326499
76.62,10.4576915655036
77.1175,10.4839601780144
77.615,10.5101394673187
78.1125,10.5362299445247
78.61,10.5622321341043
79.1075,10.5881465732881
79.605,10.6139738114677
80.1025,10.6397144095982
80.6,10.665368939612
81.0975,10.6909379838348
81.595,10.7164221344112
82.0925,10.741821992737
82.59,10.7671381689021
83.0875,10.7923712811363
83.585,10.817521955271
84.0825,10.8425908242064
84.58,10.8675785273891
85.0775,10.8924857102995
85.575,10.9173130239519
86.0725,10.9420611244014
86.57,10.966730672266
87.0675,10.9913223322534
87.565,11.0158367727077
88.0625,11.0402746651572
88.56,11.0646366838831
89.0575,11.0889235054941
89.555,11.1131358085109
90.0525,11.1372742729692
90.55,11.1613395800265
91.0475,11.1853324115864
91.545,11.2092534499301
92.0425,11.2331033773623
92.54,11.2568828758668
93.0375,11.2805926267748
93.535,11.3042333104428
94.0325,11.327805605943
94.53,11.3513101907651
95.0275,11.3747477405275
95.525,11.3981189286997
96.0225,11.4214244263383
96.52,11.4446649018282
97.0175,11.4678410206386
97.515,11.4909534450881
98.0125,11.5140028341185
98.51,11.5369898430801
99.0075,11.5599151235265
99.505,11.5827793230164
100.0025,11.6055830849308
100.5,11.6283270482907
100.9975,11.6510118475916
101.495,11.6736381126413
101.9925,11.6962064684108
102.49,11.7187175348878
102.9875,11.7411719269443
103.485,11.7635702542079
103.9825,11.7859131209422
104.48,11.8082011259343
104.9775,11.8304348623906
105.475,11.852614917838
105.9725,11.8747418740339
106.47,11.8968163068793
106.9675,11.918838786344
107.465,11.9408098763906
107.9625,11.9627301349126
108.46,11.9846001136708
108.9575,12.0064203582409
109.455,12.0281914079638
109.9525,12.0499137959006
110.45,12.0715880487951
110.9475,12.0932146870387
111.445,12.1147942246424
111.9425,12.13632716921
112.44,12.1578140219181
112.9375,12.1792552775012
113.435,12.2006514242364
113.9325,12.2220029439376
114.43,12.2433103119496
114.9275,12.2645739971444
115.425,12.2857944619275
115.9225,12.3069721622394
116.42,12.3281075475656
116.9175,12.3492010609467
117.415,12.3702531389943
117.9125,12.391264211905
118.41,12.4122347034829
118.9075,12.4331650311583
119.405,12.4540556060139
119.9025,12.4749068328092
120.4,12.4957191100113
120.8975,12.5164928298227
121.395,12.5372283782157
121.8925,12.557926134965
122.39,12.5785864736839
122.8875,12.5992097618626
123.385,12.6197963609053
123.8825,12.6403466261714
124.38,12.660860907019
124.8775,12.6813395468438
125.375,12.7017828831273
125.8725,12.7221912474795
126.37,12.7425649656858
126.8675,12.7629043577549
127.365,12.7832097379673
127.8625,12.803481414922
128.36,12.823719691589
128.8575,12.8439248653583
129.355,12.864097228092
129.8525,12.8842370661749
130.35,12.9043446605691
130.8475,12.9244202868633
131.345,12.9444642153306
131.8425,12.964476710978
132.34,12.9844580336042
132.8375,13.004408437851
133.335,13.0243281732603
133.8325,13.044217484328
134.33,13.0640766105597
134.8275,13.0839057865248
135.325,13.1037052419148
135.8225,13.1234752015959
136.32,13.1432158856667
136.8175,13.1629275095127
137.315,13.1826102838639
137.8125,13.202264414848
138.31,13.221890104048
138.8075,13.2414875485577
139.305,13.2610569410363
139.8025,13.280598469765
140.3,13.3001123187023
140.7975,13.3195986675374
141.295,13.3390576917479
141.7925,13.3584895626524
142.29,13.3778944474669
142.7875,13.397272509358
143.285,13.4166239074971
143.7825,13.4359487971147
144.28,13.4552473295548
144.7775,13.4745196523265
145.275,13.4937659091586
145.7725,13.5129862400513
146.27,13.5321807813295
146.7675,13.551349665695
147.265,13.5704930222759
147.7625,13.5896109766826
148.26,13.6087036510541
148.7575,13.6277711641114
149.255,13.6468136312079
149.7525,13.6658311643776
150.25,13.6848238723864
150.7475,13.70379186078
151.245,13.7227352319339
151.7425,13.7416540851006
152.24,13.7605485164578
152.7375,13.7794186191569
153.235,13.7982644833686
153.7325,13.8170861963306
154.23,13.8358838423937
154.7275,13.8546575030674
155.225,13.8734072570651
155.7225,13.89213318035
156.22,13.9108353461786
156.7175,13.9295138251444
157.215,13.9481686852239
157.7125,13.9667999918169
158.21,13.9854078077911
158.7075,14.0039921935237
159.205,14.0225532069436
159.7025,14.0410909035721
160.2,14.0596053365652
160.6975,14.078096556753
161.195,14.0965646126804
161.6925,14.1150095506457
162.19,14.1334314147417
162.6875,14.1518302468926
163.185,14.1702060868936
163.6825,14.188558972448
164.18,14.2068889392051
164.6775,14.2251960207966
165.175,14.2434802488744
165.6725,14.2617416531453
166.17,14.2799802614075
166.6675,14.2981960995866
167.165,14.3163891917678
167.6625,14.3345595602337
168.16,14.3527072254961
168.6575,14.3708322063302
169.155,14.3889345198082
169.6525,14.4070141813311
170.15,14.4250712046617
170.6475,14.4431056019566
171.145,14.4611173837974
171.6425,14.479106559222
172.14,14.4970731357546
172.6375,14.5150171194383
173.135,14.5329385148614
173.6325,14.5508373251901
174.13,14.5687135521959
174.6275,14.5865671962855
175.125,14.6043982565278
175.6225,14.6222067306835
176.12,14.6399926152313
176.6175,14.6577559053956
177.115,14.6754965951738
177.6125,14.6932146773621
178.11,14.7109101435825
178.6075,14.728582984308
179.105,14.7462331888872
179.6025,14.7638607455715
180.1,14.7814656415384
180.5975,14.7990478629152
181.095,14.8166073948043
181.5925,14.8341442213069
182.09,14.8516583255455
182.5875,14.8691496896874
183.085,14.8866182949674
183.5825,14.9040641217102
184.08,14.9214871493519
184.5775,14.9388873564626
185.075,14.9562647207668
185.5725,14.9736192191661
186.07,14.9909508277578
186.5675,15.008259521857
187.065,15.0255452760168
187.5625,15.0428080640466
188.06,15.0600478590333
188.5575,15.0772646333606
189.055,15.0944583587265
189.5525,15.1116290061632
190.05,15.1287765460556
190.5475,15.1459009481589
191.045,15.1630021816173
191.5425,15.1800802149804
192.04,15.1971350162206
192.5375,15.2141665527525
193.035,15.2311747914462
193.5325,15.2481596986469
194.03,15.2651212401893
194.5275,15.2820593814139
195.025,15.2989740871839
195.5225,15.3158653218998
196.02,15.332733049514
196.5175,15.3495772335485
197.015,15.3663978371056
197.5125,15.3831948228873
198.01,15.3999681532057
198.5075,15.4167177899986
199.005,15.433443694844
199.5025,15.4501458289733
200,15.466824153284
